加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
1, 1, 0,232, 232
1, 2, 232,464, 232
3, 1, 232,535, 303
1, 3, 464,696, 232
3, 2, 535,838, 303
24, 1, 535,838, 303
1, 4, 696,928, 232
3, 3, 838,1141, 303
24, 2, 838,1141, 303
26, 1, 838,1282, 444
1, 5, 928,1160, 232
3, 4, 1141,1444, 303
24, 3, 1141,1444, 303
1, 6, 1160,1392, 232
10, 1, 1282,1585, 303
26, 2, 1282,1726, 444
1, 7, 1392,1624, 232
3, 5, 1444,1747, 303
24, 4, 1444,1747, 303
6, 1, 1585,2158, 573
1, 8, 1624,1856, 232
10, 2, 1726,2029, 303
26, 3, 1726,2170, 444
3, 6, 1747,2050, 303
24, 5, 1747,2050, 303
1, 9, 1856,2088, 232
3, 7, 2050,2353, 303
24, 6, 2050,2353, 303
1, 10, 2088,2320, 232
6, 2, 2158,2731, 573
22, 1, 2158,2390, 232
10, 3, 2170,2473, 303
26, 4, 2170,2614, 444
1, 10, 2320,2741, 421
3, 8, 2353,2656, 303
24, 7, 2353,2656, 303
21, 1, 2390,3104, 714
10, 4, 2614,2917, 303
26, 5, 2614,3058, 444
3, 9, 2656,2959, 303
24, 8, 2656,2959, 303
6, 3, 2731,3304, 573
22, 2, 2731,2963, 232
3, 10, 2959,3262, 303
24, 9, 2959,3262, 303
10, 5, 3058,3361, 303
26, 6, 3058,3502, 444
9, 1, 3104,3372, 268
21, 2, 3104,3818, 714
1, 9, 3262,3683, 421
3, 10, 3262,3824, 562
6, 4, 3304,3877, 573
22, 3, 3304,3536, 232
23, 1, 3372,3640, 268
10, 6, 3502,3805, 303
26, 7, 3502,3946, 444
11, 1, 3640,4002, 362
1, 8, 3683,4104, 421
9, 2, 3818,4086, 268
21, 3, 3818,4532, 714
3, 9, 3824,4386, 562
24, 10, 3824,4127, 303
6, 5, 3877,4450, 573
22, 4, 3877,4109, 232
10, 7, 3946,4249, 303
7, 1, 4002,4716, 714
11, 2, 4086,4448, 362
26, 8, 4104,4548, 444
24, 10, 4127,4689, 562
1, 7, 4249,4670, 421
23, 2, 4448,4716, 268
6, 6, 4450,5023, 573
22, 5, 4450,4682, 232
11, 3, 4532,4894, 362
21, 4, 4532,5246, 714
10, 8, 4548,4851, 303
26, 9, 4548,4992, 444
7, 2, 4716,5430, 714
30, 1, 4716,4984, 268
3, 8, 4851,5413, 562
23, 3, 4894,5162, 268
16, 1, 4984,5252, 268
24, 9, 4992,5554, 562
26, 10, 4992,5436, 444
1, 6, 5023,5444, 421
6, 7, 5023,5596, 573
9, 3, 5162,5430, 268
11, 4, 5246,5608, 362
21, 5, 5246,5960, 714
25, 1, 5252,5614, 362
7, 3, 5430,6144, 714
30, 2, 5430,5698, 268
26, 10, 5436,6280, 844
22, 6, 5444,5676, 232
10, 9, 5554,5857, 303
24, 8, 5554,6116, 562
3, 7, 5596,6158, 562
23, 4, 5608,5876, 268
2, 1, 5614,5882, 268
25, 2, 5698,6060, 362
9, 4, 5876,6144, 268
17, 1, 5882,6185, 303
1, 5, 5960,6381, 421
21, 6, 5960,6674, 714
2, 2, 6060,6328, 268
6, 8, 6116,6689, 573
7, 4, 6144,6858, 714
30, 3, 6144,6412, 268
22, 7, 6158,6390, 232
8, 1, 6185,6417, 232
10, 10, 6280,6583, 303
26, 9, 6280,7124, 844
16, 2, 6328,6596, 268
23, 5, 6381,6649, 268
24, 7, 6390,6952, 562
25, 3, 6412,6774, 362
13, 1, 6417,6990, 573
10, 10, 6583,7145, 562
8, 2, 6596,6828, 232
11, 5, 6649,7011, 362
23, 6, 6674,6942, 268
22, 8, 6689,6921, 232
2, 3, 6774,7042, 268
17, 2, 6828,7131, 303
1, 4, 6858,7279, 421
3, 6, 6942,7504, 562
23, 7, 6952,7220, 268
18, 1, 6990,7352, 362
7, 5, 7011,7725, 714
8, 3, 7042,7274, 232
22, 9, 7124,7356, 232
26, 8, 7124,7968, 844
13, 2, 7131,7704, 573
21, 7, 7220,7934, 714
16, 3, 7274,7542, 268
2, 4, 7279,7547, 268
28, 1, 7352,8066, 714
10, 9, 7356,7918, 562
22, 10, 7356,7588, 232
11, 6, 7504,7866, 362
17, 3, 7542,7845, 303
8, 4, 7547,7779, 232
22, 10, 7588,8009, 421
18, 2, 7704,8066, 362
3, 5, 7725,8287, 562
25, 4, 7779,8141, 362
13, 3, 7845,8418, 573
24, 6, 7866,8428, 562
6, 9, 7918,8491, 573
11, 7, 7934,8296, 362
21, 8, 7968,8682, 714
4, 1, 8066,8428, 362
28, 2, 8066,8780, 714
30, 4, 8141,8409, 268
9, 5, 8287,8555, 268
26, 7, 8296,9140, 844
17, 4, 8409,8712, 303
18, 3, 8418,8780, 362
7, 6, 8428,9142, 714
29, 1, 8428,8660, 232
6, 10, 8491,9064, 573
22, 9, 8491,8912, 421
2, 5, 8555,8823, 268
20, 1, 8660,9233, 573
10, 8, 8682,9244, 562
13, 4, 8712,9285, 573
28, 3, 8780,9494, 714
29, 2, 8780,9012, 232
24, 5, 8823,9385, 562
21, 9, 8912,9626, 714
4, 2, 9012,9374, 362
6, 10, 9064,10166, 1102
2, 6, 9142,9410, 268
7, 7, 9142,9856, 714
15, 1, 9233,9465, 232
23, 8, 9244,9512, 268
16, 4, 9285,9553, 268
20, 2, 9374,9947, 573
13, 5, 9385,9958, 573
9, 6, 9410,9678, 268
27, 1, 9465,10038, 573
4, 3, 9494,9856, 362
22, 8, 9512,9933, 421
28, 4, 9553,10267, 714
23, 9, 9626,9894, 268
26, 6, 9678,10522, 844
9, 7, 9856,10124, 268
29, 3, 9856,10088, 232
7, 8, 9933,10647, 714
15, 2, 9947,10179, 232
30, 5, 9958,10226, 268
5, 1, 10038,10482, 444
20, 3, 10088,10661, 573
22, 7, 10124,10545, 421
6, 9, 10166,11268, 1102
21, 10, 10166,10880, 714
27, 2, 10179,10752, 573
16, 5, 10226,10494, 268
3, 4, 10267,10829, 562
12, 1, 10482,10926, 444
17, 5, 10494,10797, 303
16, 6, 10522,10790, 268
10, 7, 10545,11107, 562
11, 8, 10647,11009, 362
1, 3, 10661,11082, 421
5, 2, 10752,11196, 444
30, 6, 10790,11058, 268
25, 5, 10797,11159, 362
18, 4, 10829,11191, 362
21, 10, 10880,12264, 1384
19, 1, 10926,11370, 444
9, 8, 11009,11277, 268
13, 6, 11058,11631, 573
3, 3, 11082,11644, 562
30, 7, 11107,11375, 268
28, 5, 11159,11873, 714
4, 4, 11191,11553, 362
1, 2, 11196,11617, 421
11, 9, 11268,11630, 362
6, 8, 11277,12379, 1102
14, 1, 11370,12084, 714
2, 7, 11375,11643, 268
20, 4, 11553,12126, 573
12, 2, 11617,12061, 444
7, 9, 11630,12344, 714
17, 6, 11631,11934, 303
13, 7, 11643,12216, 573
5, 3, 11644,12088, 444
8, 5, 11873,12105, 232
22, 6, 11934,12355, 421
3, 2, 12061,12623, 562
1, 1, 12084,12505, 421
12, 3, 12088,12532, 444
26, 5, 12105,12949, 844
24, 4, 12126,12688, 562
17, 7, 12216,12519, 303
23, 10, 12264,12532, 268
9, 9, 12344,12612, 268
25, 6, 12355,12717, 362
30, 8, 12379,12647, 268
6, 7, 12519,13621, 1102
23, 10, 12532,13023, 491
27, 3, 12532,13105, 573
21, 9, 12612,13996, 1384
3, 1, 12623,13185, 562
19, 2, 12623,13067, 444
2, 8, 12647,12915, 268
29, 4, 12688,12920, 232
8, 6, 12717,12949, 232
17, 8, 12915,13218, 303
12, 4, 12920,13364, 444
20, 5, 12949,13522, 573
28, 6, 12949,13663, 714
9, 10, 13023,13291, 268
14, 2, 13067,13781, 714
15, 3, 13105,13337, 232
13, 8, 13218,13791, 573
11, 10, 13291,13653, 362
19, 3, 13337,13781, 444
5, 4, 13364,13808, 444
4, 5, 13522,13884, 362
16, 7, 13621,13889, 268
11, 10, 13653,14332, 679
20, 6, 13663,14236, 573
14, 3, 13781,14495, 714
26, 4, 13808,14652, 844
22, 5, 13884,14305, 421
16, 8, 13889,14157, 268
25, 7, 13889,14251, 362
13, 9, 13996,14569, 573
21, 8, 14157,15541, 1384
6, 6, 14236,15338, 1102
28, 7, 14251,14965, 714
18, 5, 14305,14667, 362
7, 10, 14332,15046, 714
24, 3, 14495,15057, 562
16, 9, 14569,14837, 268
22, 4, 14652,15073, 421
12, 5, 14667,15111, 444
30, 9, 14837,15105, 268
20, 7, 14965,15538, 573
13, 10, 15046,15619, 573
24, 2, 15057,15619, 562
26, 3, 15057,15901, 844
14, 4, 15073,15787, 714
17, 9, 15105,15408, 303
5, 5, 15111,15555, 444
18, 6, 15338,15700, 362
2, 9, 15408,15676, 268
8, 7, 15538,15770, 232
28, 8, 15541,16255, 714
6, 5, 15555,16657, 1102
7, 10, 15619,17003, 1384
24, 1, 15619,16181, 562
23, 9, 15676,16167, 491
12, 6, 15700,16144, 444
21, 7, 15770,17154, 1384
19, 4, 15787,16231, 444
22, 3, 15901,16322, 421
26, 2, 15901,16745, 844
10, 6, 16144,16706, 562
11, 9, 16167,16846, 679
15, 4, 16231,16463, 232
25, 8, 16255,16617, 362
27, 4, 16463,17036, 573
8, 8, 16617,16849, 232
15, 5, 16657,16889, 232
4, 6, 16706,17068, 362
22, 2, 16745,17166, 421
26, 1, 16745,17589, 844
25, 9, 16846,17208, 362
20, 8, 16849,17422, 573
29, 5, 16889,17121, 232
17, 10, 17003,17306, 303
6, 4, 17036,18138, 1102
15, 6, 17068,17300, 232
27, 5, 17121,17694, 573
4, 7, 17154,17516, 362
7, 9, 17208,18592, 1384
21, 6, 17300,18684, 1384
13, 10, 17306,18408, 1102
23, 8, 17422,17913, 491
15, 7, 17516,17748, 232
22, 1, 17589,18010, 421
14, 5, 17694,18408, 714
18, 7, 17748,18110, 362
15, 8, 17913,18145, 232
23, 7, 18110,18601, 491
6, 3, 18138,19240, 1102
18, 8, 18145,18507, 362
10, 5, 18408,18970, 562
17, 10, 18408,18970, 562
4, 8, 18507,18869, 362
13, 9, 18592,19694, 1102
12, 7, 18601,19045, 444
14, 6, 18684,19398, 714
7, 8, 18869,20253, 1384
10, 4, 18970,19532, 562
19, 5, 18970,19414, 444
25, 10, 18970,19332, 362
6, 2, 19240,20342, 1102
9, 10, 19332,19823, 491
14, 7, 19398,20112, 714
23, 6, 19398,19889, 491
21, 5, 19414,20798, 1384
10, 3, 19532,20094, 562
18, 9, 19694,20056, 362
25, 10, 19823,20502, 679
27, 6, 19889,20462, 573
8, 9, 20056,20288, 232
7, 7, 20253,21637, 1384
13, 8, 20253,21355, 1102
20, 9, 20288,20861, 573
6, 1, 20342,21444, 1102
10, 2, 20342,20904, 562
5, 6, 20462,20906, 444
30, 10, 20502,20770, 268
2, 10, 20770,21038, 268
21, 4, 20798,22182, 1384
23, 5, 20798,21289, 491
28, 9, 20861,21575, 714
29, 6, 20906,21138, 232
16, 10, 21038,21306, 268
19, 6, 21138,21582, 444
30, 10, 21306,21797, 491
12, 8, 21355,21799, 444
10, 1, 21444,22006, 562
15, 9, 21575,21807, 232
7, 6, 21637,23021, 1384
13, 7, 21637,22739, 1102
8, 10, 21797,22029, 232
11, 8, 21799,22478, 679
17, 9, 21807,22369, 562
15, 10, 22029,22261, 232
21, 3, 22182,23566, 1384
23, 4, 22182,22673, 491
8, 10, 22261,22682, 421
30, 9, 22369,22860, 491
14, 8, 22478,23192, 714
20, 10, 22682,23255, 573
11, 7, 22739,23418, 679
8, 9, 22860,23281, 421
7, 5, 23021,24405, 1384
13, 6, 23021,24123, 1102
30, 8, 23192,23683, 491
15, 10, 23255,23676, 421
9, 9, 23281,23772, 491
27, 7, 23418,23991, 573
21, 2, 23566,24950, 1384
23, 3, 23566,24057, 491
18, 10, 23676,24038, 362
8, 8, 23683,24104, 421
12, 9, 23772,24216, 444
30, 7, 23991,24482, 491
20, 10, 24038,25140, 1102
17, 8, 24104,24666, 562
11, 6, 24123,24802, 679
15, 9, 24216,24637, 421
7, 4, 24405,25789, 1384
13, 5, 24405,25507, 1102
19, 7, 24482,24926, 444
14, 9, 24637,25351, 714
9, 8, 24666,25157, 491
30, 6, 24802,25293, 491
17, 7, 24926,25488, 562
21, 1, 24950,26334, 1384
23, 2, 24950,25441, 491
16, 10, 25140,25631, 491
15, 8, 25157,25578, 421
25, 9, 25351,26030, 679
17, 6, 25488,26050, 562
29, 7, 25488,25720, 232
11, 5, 25507,26186, 679
27, 8, 25578,26151, 573
12, 10, 25631,26075, 444
5, 7, 25720,26164, 444
7, 3, 25789,27173, 1384
13, 4, 25789,26891, 1102
20, 9, 26030,27132, 1102
28, 10, 26075,26789, 714
29, 8, 26151,26383, 232
9, 7, 26164,26655, 491
30, 5, 26186,26677, 491
23, 1, 26334,26825, 491
5, 8, 26383,26827, 444
9, 6, 26655,27146, 491
15, 7, 26655,27076, 421
17, 5, 26677,27239, 562
12, 10, 26789,27633, 844
19, 8, 26827,27271, 444
30, 4, 26891,27382, 491
8, 7, 27076,27497, 421
27, 9, 27132,27705, 573
15, 6, 27146,27567, 421
7, 2, 27173,28557, 1384
13, 3, 27173,28275, 1102
9, 5, 27239,27730, 491
20, 8, 27271,28373, 1102
17, 4, 27382,27944, 562
8, 6, 27567,27988, 421
2, 10, 27633,28124, 491
5, 9, 27705,28149, 444
15, 5, 27730,28151, 421
11, 4, 27944,28623, 679
14, 10, 28124,28838, 714
19, 9, 28149,28593, 444
8, 5, 28151,28572, 421
30, 3, 28275,28766, 491
20, 7, 28373,29475, 1102
25, 8, 28373,29052, 679
7, 1, 28557,29941, 1384
13, 2, 28557,29659, 1102
12, 9, 28593,29437, 844
15, 4, 28623,29044, 421
17, 3, 28766,29328, 562
28, 10, 28838,30222, 1384
8, 4, 29044,29465, 421
15, 3, 29328,29749, 421
2, 9, 29437,29928, 491
12, 8, 29437,30281, 844
9, 4, 29465,29956, 491
20, 6, 29475,30577, 1102
25, 7, 29475,30154, 679
30, 2, 29659,30150, 491
11, 3, 29749,30428, 679
16, 9, 29928,30419, 491
13, 1, 29941,31043, 1102
15, 2, 30150,30571, 421
19, 10, 30222,30666, 444
2, 8, 30281,30772, 491
12, 7, 30281,31125, 844
4, 9, 30419,30781, 362
9, 3, 30428,30919, 491
11, 2, 30571,31250, 679
20, 5, 30577,31679, 1102
25, 6, 30577,31256, 679
19, 10, 30666,31510, 844
16, 8, 30772,31263, 491
28, 9, 30781,32165, 1384
8, 3, 30919,31340, 421
15, 1, 31043,31464, 421
2, 7, 31125,31616, 491
17, 2, 31250,31812, 562
12, 6, 31256,32100, 844
30, 1, 31464,31955, 491
18, 10, 31510,32189, 679
16, 7, 31616,32107, 491
20, 4, 31679,32781, 1102
25, 5, 31679,32358, 679
9, 2, 31812,32303, 491
17, 1, 31955,32517, 562
2, 6, 32100,32591, 491
28, 8, 32165,33549, 1384
29, 9, 32165,32397, 232
14, 10, 32189,33573, 1384
8, 2, 32303,32724, 421
12, 5, 32358,33202, 844
19, 9, 32397,33241, 844
11, 1, 32517,33196, 679
16, 6, 32591,33082, 491
20, 3, 32781,33883, 1102
25, 4, 32781,33460, 679
8, 1, 33196,33617, 421
16, 5, 33202,33693, 491
18, 9, 33241,33920, 679
12, 4, 33460,34304, 844
19, 8, 33549,34393, 844
28, 7, 33549,34933, 1384
29, 10, 33573,33805, 232
9, 1, 33617,34108, 491
2, 5, 33693,34184, 491
5, 10, 33805,34249, 444
20, 2, 33883,34985, 1102
25, 3, 33883,34562, 679
14, 9, 33920,35304, 1384
4, 10, 34249,34611, 362
2, 4, 34304,34795, 491
18, 8, 34393,35072, 679
12, 3, 34562,35406, 844
5, 10, 34611,35455, 844
16, 4, 34795,35286, 491
19, 7, 34933,35777, 844
28, 6, 34933,36317, 1384
20, 1, 34985,36087, 1102
25, 2, 34985,35664, 679
14, 8, 35304,36688, 1384
2, 3, 35406,35897, 491
5, 9, 35455,36299, 844
29, 10, 35455,35876, 421
12, 2, 35664,36508, 844
18, 7, 35777,36456, 679
4, 10, 35876,36555, 679
16, 3, 35897,36388, 491
25, 1, 36087,36766, 679
29, 9, 36299,36720, 421
19, 6, 36317,37161, 844
28, 5, 36317,37701, 1384
2, 2, 36508,36999, 491
27, 10, 36555,37128, 573
5, 8, 36688,37532, 844
14, 7, 36688,38072, 1384
4, 9, 36720,37399, 679
12, 1, 36766,37610, 844
16, 2, 36999,37490, 491
27, 10, 37128,38230, 1102
18, 6, 37161,37840, 679
29, 8, 37532,37953, 421
16, 1, 37610,38101, 491
19, 5, 37701,38545, 844
28, 4, 37701,39085, 1384
4, 8, 37953,38632, 679
14, 6, 38072,39456, 1384
29, 7, 38072,38493, 421
2, 1, 38101,38592, 491
27, 9, 38230,39332, 1102
5, 7, 38493,39337, 844
18, 5, 38545,39224, 679
19, 4, 39085,39929, 844
28, 3, 39085,40469, 1384
27, 8, 39332,40434, 1102
4, 7, 39337,40016, 679
14, 5, 39456,40840, 1384
29, 6, 39456,39877, 421
5, 6, 39877,40721, 844
18, 4, 39929,40608, 679
27, 7, 40434,41536, 1102
19, 3, 40469,41313, 844
28, 2, 40469,41853, 1384
4, 6, 40721,41400, 679
5, 5, 40840,41684, 844
14, 4, 40840,42224, 1384
18, 3, 41313,41992, 679
27, 6, 41536,42638, 1102
4, 5, 41684,42363, 679
19, 2, 41853,42697, 844
28, 1, 41853,43237, 1384
5, 4, 42224,43068, 844
14, 3, 42224,43608, 1384
29, 5, 42363,42784, 421
18, 2, 42697,43376, 679
27, 5, 42784,43886, 1102
29, 4, 43068,43489, 421
19, 1, 43237,44081, 844
4, 4, 43489,44168, 679
14, 2, 43608,44992, 1384
29, 3, 43608,44029, 421
5, 3, 44029,44873, 844
18, 1, 44081,44760, 679
27, 4, 44168,45270, 1102
4, 3, 44873,45552, 679
5, 2, 44992,45836, 844
14, 1, 44992,46376, 1384
27, 3, 45552,46654, 1102
29, 2, 45836,46257, 421
4, 2, 46257,46936, 679
29, 1, 46376,46797, 421
5, 1, 46797,47641, 844
27, 2, 46936,48038, 1102
4, 1, 47641,48320, 679
27, 1, 48320,49422, 1102