代数, 变异数, 最优个体时间
1,3,53640.0
2,6,53640.0
3,2,53640.0
4,1,53640.0
5,3,53640.0
6,4,53640.0
7,4,53640.0
8,6,53640.0
9,6,53640.0
10,4,53640.0
11,6,53640.0
12,2,53640.0
13,6,53640.0
14,1,53640.0
15,5,53640.0
16,5,53640.0
17,6,53640.0
18,6,53640.0
19,4,53640.0
20,4,53640.0
21,3,53640.0
22,1,53640.0
23,3,53640.0
24,4,53640.0
25,5,53640.0
26,1,53640.0
27,5,53640.0
28,7,53640.0
29,5,53640.0
30,5,53640.0
31,3,53640.0
32,5,53640.0
33,4,53640.0
34,2,53640.0
35,3,53640.0
36,7,53640.0
37,4,53640.0
38,1,53640.0
39,4,53640.0
40,1,53640.0
41,6,53640.0
42,3,53640.0
43,7,53640.0
44,3,53640.0
45,2,53640.0
46,5,53640.0
47,4,53640.0
48,6,53640.0
49,6,53640.0
50,6,53640.0
51,3,53640.0
52,3,53640.0
53,7,53640.0
54,2,53640.0
55,5,53640.0
56,5,53640.0
57,4,53640.0
58,7,53640.0
59,3,53640.0
60,1,53640.0
61,4,53640.0
62,6,53640.0
63,2,53640.0
64,1,53640.0
65,2,53640.0
66,3,53640.0
67,6,53640.0
68,6,53640.0
69,5,53640.0
70,7,53640.0
71,5,53640.0
72,6,53640.0
73,2,53640.0
74,6,53640.0
75,7,53640.0
76,2,53640.0
77,5,53640.0
78,6,53640.0
79,6,53640.0
80,3,53640.0
81,2,53640.0
82,4,53640.0
83,3,53640.0
84,4,53640.0
85,5,53640.0
86,2,53640.0
87,6,53640.0
88,1,53640.0
89,4,53640.0
90,6,53640.0
91,5,53640.0
92,4,53640.0
93,1,53640.0
94,2,53640.0
95,2,53640.0
96,5,53640.0
97,4,53640.0
98,5,53640.0
99,1,53640.0
100,2,53640.0