加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
23, 1, 0,355, 355
12, 1, 355,982, 627
23, 2, 355,710, 355
23, 3, 710,1065, 355
12, 2, 982,1609, 627
21, 1, 982,2026, 1044
23, 4, 1065,1420, 355
23, 4, 1420,2120, 700
12, 3, 1609,2236, 627
14, 1, 2026,3070, 1044
21, 2, 2026,3070, 1044
12, 4, 2236,2863, 627
23, 3, 2236,2936, 700
12, 4, 2863,4106, 1243
19, 1, 3070,3697, 627
21, 3, 3070,4114, 1044
23, 2, 3070,3770, 700
20, 1, 3697,4523, 826
14, 2, 3770,4814, 1044
12, 3, 4114,5357, 1243
21, 4, 4114,5158, 1044
8, 1, 4523,4824, 301
19, 2, 4814,5441, 627
10, 1, 4824,5234, 410
21, 4, 5158,7235, 2077
4, 1, 5234,5734, 500
14, 3, 5357,6401, 1044
8, 2, 5441,5742, 301
13, 1, 5734,6560, 826
20, 2, 5742,6568, 826
8, 3, 6401,6702, 301
2, 1, 6560,6915, 355
13, 2, 6568,7394, 826
19, 3, 6702,7329, 627
22, 1, 6915,7216, 301
7, 1, 7216,8260, 1044
14, 4, 7235,8279, 1044
21, 3, 7329,9406, 2077
10, 2, 7394,7804, 410
22, 2, 7804,8105, 301
2, 2, 8105,8460, 355
11, 1, 8260,8760, 500
19, 4, 8279,8906, 627
12, 2, 8460,9703, 1243
5, 1, 8760,9387, 627
19, 4, 8906,10149, 1243
23, 1, 9387,10087, 700
10, 3, 9406,9816, 410
4, 2, 9703,10203, 500
2, 3, 9816,10171, 355
18, 1, 10087,10587, 500
8, 4, 10149,10450, 301
20, 3, 10171,10997, 826
21, 2, 10203,12280, 2077
10, 4, 10450,10860, 410
24, 1, 10587,10997, 410
14, 4, 10860,12937, 2077
4, 3, 10997,11497, 500
17, 1, 10997,11407, 410
9, 1, 11407,11762, 355
19, 3, 11497,12740, 1243
3, 1, 11762,12172, 410
16, 1, 12172,12527, 355
3, 2, 12280,12690, 410
21, 1, 12527,14604, 2077
17, 2, 12690,13100, 410
3, 3, 12740,13150, 410
10, 4, 12937,13745, 808
9, 2, 13100,13455, 355
22, 3, 13150,13451, 301
14, 3, 13451,15528, 2077
16, 2, 13455,13810, 355
4, 4, 13745,14245, 500
5, 2, 13810,14437, 627
2, 4, 14245,14600, 355
11, 2, 14437,14937, 500
3, 4, 14600,15010, 410
15, 1, 14604,14905, 301
1, 1, 14905,15206, 301
19, 2, 14937,16180, 1243
20, 4, 15010,15836, 826
25, 1, 15206,15706, 500
17, 3, 15528,15938, 410
6, 1, 15706,16532, 826
4, 4, 15836,16826, 990
9, 3, 15938,16293, 355
7, 2, 16180,17224, 1044
16, 3, 16293,16648, 355
19, 1, 16532,17775, 1243
11, 3, 16648,17148, 500
9, 4, 16826,17181, 355
5, 3, 17148,17775, 627
2, 4, 17181,17881, 700
6, 2, 17224,18050, 826
12, 1, 17775,19018, 1243
13, 3, 17775,18601, 826
5, 4, 17881,18508, 627
24, 2, 18050,18460, 410
18, 2, 18460,18960, 500
8, 4, 18508,19099, 591
4, 3, 18601,19591, 990
25, 2, 18960,19460, 500
17, 4, 19099,19509, 410
1, 2, 19460,19761, 301
11, 4, 19509,20009, 500
8, 3, 19591,20182, 591
14, 2, 19761,21838, 2077
3, 4, 20009,20817, 808
10, 3, 20182,20990, 808
16, 4, 20817,21172, 355
18, 3, 20990,21490, 500
17, 4, 21172,21980, 808
24, 3, 21490,21900, 410
10, 2, 21838,22646, 808
14, 1, 21838,23915, 2077
1, 3, 21900,22201, 301
11, 4, 21980,22970, 990
17, 3, 22201,23009, 808
8, 2, 22646,23237, 591
5, 4, 22970,24213, 1243
11, 3, 23009,23999, 990
4, 2, 23237,24227, 990
8, 1, 23915,24506, 591
2, 3, 23999,24699, 700
18, 4, 24213,24713, 500
15, 2, 24227,24528, 301
10, 1, 24506,25314, 808
17, 2, 24528,25336, 808
3, 3, 24699,25507, 808
24, 4, 24713,25123, 410
24, 4, 25123,25931, 808
4, 1, 25314,26304, 990
11, 2, 25336,26326, 990
5, 3, 25507,26750, 1243
20, 4, 25931,27573, 1642
17, 1, 26304,27112, 808
2, 2, 26326,27026, 700
24, 3, 26750,27558, 808
3, 2, 27026,27834, 808
2, 1, 27112,27812, 700
7, 3, 27558,28602, 1044
13, 4, 27573,28399, 826
11, 1, 27812,28802, 990
24, 2, 27834,28642, 808
22, 4, 28399,28700, 301
6, 3, 28602,29428, 826
5, 2, 28642,29885, 1243
16, 4, 28700,29400, 700
3, 1, 28802,29610, 808
7, 4, 29400,30444, 1044
20, 3, 29428,31070, 1642
24, 1, 29610,30418, 808
5, 1, 30418,31661, 1243
9, 4, 30444,31144, 700
15, 3, 31070,31371, 301
20, 2, 31070,32712, 1642
22, 4, 31144,31735, 591
16, 3, 31371,32071, 700
6, 4, 31735,32561, 826
9, 3, 32071,32771, 700
1, 4, 32561,32862, 301
16, 2, 32712,33412, 700
20, 1, 32712,34354, 1642
22, 3, 32771,33362, 591
6, 4, 32862,34504, 1642
25, 3, 33362,33862, 500
9, 2, 33412,34112, 700
22, 2, 34112,34703, 591
9, 1, 34354,35054, 700
6, 3, 34504,36146, 1642
13, 4, 34504,36146, 1642
16, 1, 35054,35754, 700
22, 1, 35754,36345, 591
6, 2, 36146,37788, 1642
13, 3, 36146,37788, 1642
15, 4, 36146,36447, 301
1, 4, 36447,37038, 591
18, 4, 37038,38028, 990
1, 3, 37788,38379, 591
6, 1, 37788,39430, 1642
13, 2, 37788,39430, 1642
7, 4, 38028,40105, 2077
18, 3, 38379,39369, 990
1, 2, 39430,40021, 591
13, 1, 39430,41072, 1642
18, 2, 40021,41011, 990
7, 3, 40105,42182, 2077
15, 4, 40105,40696, 591
25, 4, 40696,41196, 500
1, 1, 41072,41663, 591
25, 4, 41196,42186, 990
18, 1, 41663,42653, 990
7, 2, 42182,44259, 2077
15, 3, 42182,42773, 591
25, 3, 42773,43763, 990
7, 1, 44259,46336, 2077
25, 2, 44259,45249, 990
15, 2, 45249,45840, 591
25, 1, 46336,47326, 990
15, 1, 47326,47917, 591