加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
30, 1, 0,389, 389
5, 1, 389,1050, 661
30, 2, 389,778, 389
29, 1, 1050,1385, 335
10, 1, 1385,1828, 443
30, 3, 778,1167, 389
30, 4, 1167,1556, 389
23, 1, 1828,2217, 389
5, 2, 1050,1711, 661
35, 1, 2217,3295, 1078
29, 2, 1711,2046, 335
5, 3, 1711,2372, 661
28, 1, 3295,4373, 1078
30, 4, 1556,2289, 733
5, 4, 2372,3033, 661
31, 1, 4373,4816, 443
30, 3, 2372,3105, 733
23, 2, 2217,2606, 389
5, 4, 3033,4310, 1277
10, 2, 2606,3049, 443
10, 3, 3105,3548, 443
10, 4, 4310,4753, 443
30, 2, 3105,3838, 733
2, 1, 4816,5205, 389
23, 3, 3548,3937, 389
23, 4, 4753,5142, 389
25, 1, 5205,5739, 534
29, 3, 3937,4272, 335
22, 1, 5739,6074, 335
29, 4, 5142,5477, 335
35, 2, 3838,4916, 1078
10, 4, 5477,6319, 842
5, 3, 4310,5587, 1277
2, 2, 5205,5594, 389
28, 2, 5594,6672, 1078
29, 4, 6319,6944, 625
25, 2, 6672,7206, 534
22, 2, 7206,7541, 335
19, 1, 6074,6735, 661
35, 3, 5587,6665, 1078
23, 4, 6944,7677, 733
2, 3, 6665,7054, 389
20, 1, 6735,7595, 860
35, 4, 7677,8755, 1078
2, 4, 8755,9144, 389
10, 3, 7054,7896, 842
9, 1, 7595,7984, 389
14, 1, 7984,9062, 1078
25, 3, 7896,8430, 534
29, 3, 8430,9055, 625
23, 3, 9055,9788, 733
18, 1, 9062,9596, 534
25, 4, 9144,9678, 534
19, 2, 7541,8202, 661
34, 1, 9596,10456, 860
16, 1, 10456,10845, 389
20, 2, 8202,9062, 860
20, 3, 9788,10648, 860
22, 3, 10648,10983, 335
12, 1, 10845,11506, 661
2, 4, 9678,10411, 733
25, 4, 10411,11434, 1023
14, 2, 9062,10140, 1078
35, 4, 11434,13545, 2111
34, 2, 10456,11316, 860
6, 1, 11506,12366, 860
29, 2, 11316,11941, 625
14, 3, 10983,12061, 1078
4, 1, 12366,12900, 534
26, 1, 12900,13561, 661
12, 2, 11941,12602, 661
2, 3, 12061,12794, 733
27, 1, 13561,14421, 860
28, 3, 12794,13872, 1078
20, 4, 13545,14405, 860
33, 1, 14421,15082, 661
31, 2, 12602,13045, 443
25, 3, 13872,14895, 1023
5, 2, 13045,14322, 1277
18, 2, 14322,14856, 534
26, 2, 14856,15517, 661
18, 3, 14895,15429, 534
31, 3, 15429,15872, 443
19, 3, 15872,16533, 661
7, 1, 15082,16160, 1078
24, 1, 16160,16603, 443
28, 4, 14405,15483, 1078
18, 4, 15483,16017, 534
18, 4, 16017,17040, 1023
16, 2, 15517,15906, 389
32, 1, 16603,17137, 534
19, 4, 17040,17701, 661
4, 2, 15906,16440, 534
31, 4, 17701,18144, 443
6, 2, 16440,17300, 860
4, 3, 16533,17067, 534
1, 1, 17137,17472, 335
7, 2, 17300,18378, 1078
35, 3, 17067,19178, 2111
2, 2, 18378,19111, 733
31, 4, 18144,18986, 842
32, 2, 19111,19645, 534
8, 1, 17472,17807, 335
4, 4, 18986,19520, 534
13, 1, 17807,18667, 860
9, 2, 19645,20034, 389
7, 3, 19178,20256, 1078
3, 1, 18667,19110, 443
25, 2, 20034,21057, 1023
4, 4, 19520,20543, 1023
21, 1, 19110,20188, 1078
26, 3, 20256,20917, 661
12, 3, 20917,21578, 661
17, 1, 20188,20631, 443
33, 2, 21057,21718, 661
4, 3, 21578,22601, 1023
17, 2, 21718,22161, 443
19, 4, 20543,21820, 1277
20, 4, 21820,23496, 1676
35, 2, 22161,24272, 2111
7, 4, 23496,24574, 1078
31, 3, 22601,23443, 842
28, 4, 24574,26685, 2111
33, 3, 23443,24104, 661
35, 1, 24272,26383, 2111
23, 2, 24272,25005, 733
5, 1, 26383,27660, 1277
20, 3, 24104,25780, 1676
6, 3, 25780,26640, 860
9, 3, 26640,27029, 389
17, 3, 27029,27472, 443
21, 2, 25005,26083, 1078
29, 1, 27660,28285, 625
24, 2, 26083,26526, 443
34, 3, 27472,28332, 860
12, 4, 26685,27346, 661
31, 2, 26526,27368, 842
18, 3, 28332,29355, 1023
20, 2, 27368,29044, 1676
22, 4, 27346,27681, 335
8, 2, 29044,29379, 335
12, 4, 27681,28958, 1277
32, 3, 29355,29889, 534
9, 4, 28958,29347, 389
18, 2, 29379,30402, 1023
1, 2, 30402,30737, 335
21, 3, 29889,30967, 1078
15, 1, 28285,28620, 335
22, 4, 29347,29972, 625
25, 1, 28620,29643, 1023
33, 4, 29972,30633, 661
30, 1, 29643,30376, 733
1, 3, 30967,31302, 335
13, 2, 30737,31597, 860
4, 2, 31597,32620, 1023
26, 4, 30633,31294, 661
33, 4, 31294,32571, 1277
16, 3, 31302,31691, 389
3, 2, 32620,33063, 443
12, 3, 31691,32968, 1277
14, 4, 32571,33649, 1078
13, 3, 32968,33828, 860
11, 1, 30376,30910, 534
28, 3, 33828,35939, 2111
7, 4, 33649,35760, 2111
23, 1, 30910,31643, 733
32, 4, 35760,36294, 534
10, 2, 33063,33905, 842
12, 2, 33905,35182, 1277
11, 2, 35182,35716, 534
20, 1, 31643,33319, 1676
1, 4, 36294,36629, 335
24, 3, 35939,36382, 443
15, 2, 35716,36051, 335
19, 3, 36382,37659, 1277
33, 3, 37659,38936, 1277
28, 2, 36051,38162, 2111
27, 2, 38162,39022, 860
4, 1, 33319,34342, 1023
32, 4, 36629,37652, 1023
13, 4, 37652,38512, 860
12, 1, 35182,36459, 1277
34, 4, 38512,39372, 860
2, 1, 36459,37192, 733
19, 2, 39022,40299, 1277
1, 4, 39372,39997, 625
22, 3, 38936,39561, 625
18, 1, 37192,38215, 1023
7, 3, 39561,41672, 2111
31, 1, 38215,39057, 842
28, 1, 39057,41168, 2111
33, 2, 40299,41576, 1277
19, 1, 41168,42445, 1277
6, 4, 39997,40857, 860
32, 3, 41672,42695, 1023
7, 2, 41672,43783, 2111
22, 2, 43783,44408, 625
9, 4, 40857,41590, 733
10, 1, 42445,43287, 842
32, 2, 44408,45431, 1023
34, 4, 41590,43266, 1676
33, 1, 43287,44564, 1277
8, 3, 42695,43030, 335
13, 4, 43266,44942, 1676
16, 4, 44942,45331, 389
9, 3, 43030,43763, 733
7, 1, 44564,46675, 2111
1, 3, 43763,44388, 625
3, 3, 44388,44831, 443
1, 2, 45431,46056, 625
9, 2, 46056,46789, 733
34, 3, 44831,46507, 1676
32, 1, 46675,47698, 1023
9, 1, 47698,48431, 733
34, 2, 46789,48465, 1676
13, 3, 46507,48183, 1676
14, 4, 45331,47442, 2111
1, 1, 48431,49056, 625
34, 1, 49056,50732, 1676
13, 2, 48465,50141, 1676
16, 4, 47442,48175, 733
27, 3, 48183,49043, 860
14, 3, 49043,51154, 2111
26, 4, 48175,49452, 1277
13, 1, 50732,52408, 1676
21, 4, 49452,50530, 1078
21, 4, 50530,52641, 2111
27, 4, 52641,53501, 860
14, 2, 51154,53265, 2111
3, 4, 53501,53944, 443
26, 3, 51154,52431, 1277
16, 3, 52431,53164, 733
22, 1, 52408,53033, 625
27, 4, 53944,55620, 1676
21, 3, 53164,55275, 2111
16, 2, 53265,53998, 733
24, 4, 55620,56063, 443
14, 1, 53265,55376, 2111
16, 1, 55376,56109, 733
24, 4, 56063,56905, 842
26, 2, 53998,55275, 1277
15, 3, 55275,55610, 335
11, 3, 55610,56144, 534
27, 3, 56144,57820, 1676
26, 1, 56109,57386, 1277
21, 2, 55275,57386, 2111
27, 2, 57820,59496, 1676
6, 4, 56905,58581, 1676
8, 4, 58581,58916, 335
24, 3, 57820,58662, 842
21, 1, 57386,59497, 2111
17, 4, 58916,59359, 443
15, 4, 59359,59694, 335
6, 3, 58662,60338, 1676
11, 4, 59694,60228, 534
8, 4, 60228,60853, 625
24, 2, 59496,60338, 842
6, 2, 60338,62014, 1676
8, 3, 60853,61478, 625
17, 4, 60853,61695, 842
17, 3, 61695,62537, 842
11, 4, 61695,62718, 1023
27, 1, 59497,61173, 1676
11, 3, 62718,63741, 1023
17, 2, 62537,63379, 842
3, 4, 62718,63560, 842
24, 1, 61173,62015, 842
15, 4, 63560,64185, 625
8, 2, 63379,64004, 625
15, 3, 64185,64810, 625
11, 2, 64004,65027, 1023
15, 2, 65027,65652, 625
6, 1, 62015,63691, 1676
3, 3, 64810,65652, 842
3, 2, 65652,66494, 842
17, 1, 63691,64533, 842
8, 1, 64533,65158, 625
11, 1, 65158,66181, 1023
15, 1, 66181,66806, 625
3, 1, 66806,67648, 842