加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
26, 1, 0,846, 846
26, 2, 846,1692, 846
36, 1, 846,1268, 422
23, 1, 1268,1760, 492
26, 3, 1692,2538, 846
36, 2, 1692,2114, 422
2, 1, 1760,2252, 492
23, 2, 2114,2606, 492
17, 1, 2252,2815, 563
26, 4, 2538,3384, 846
36, 3, 2538,2960, 422
2, 2, 2606,3098, 492
15, 1, 2815,3237, 422
23, 3, 2960,3452, 492
17, 2, 3098,3661, 563
37, 1, 3237,3729, 492
36, 4, 3384,3806, 422
2, 3, 3452,3944, 492
15, 2, 3661,4083, 422
6, 1, 3729,4834, 1105
23, 4, 3806,4298, 492
17, 3, 3944,4507, 563
37, 2, 4083,4575, 492
26, 4, 4298,5945, 1647
15, 3, 4507,4929, 422
6, 2, 4834,5939, 1105
18, 1, 4834,5515, 681
37, 3, 4929,5421, 492
12, 1, 5515,6361, 846
6, 3, 5939,7044, 1105
18, 2, 5939,6620, 681
37, 4, 5945,6437, 492
22, 1, 6361,6783, 422
2, 4, 6437,6929, 492
12, 2, 6620,7466, 846
28, 1, 6783,8171, 1388
2, 4, 6929,7869, 940
26, 3, 7044,8691, 1647
22, 2, 7466,7888, 422
23, 4, 7869,8809, 940
28, 2, 8171,9559, 1388
33, 1, 8171,9017, 846
22, 3, 8691,9113, 422
37, 4, 8809,9749, 940
8, 1, 9017,9439, 422
12, 3, 9113,9959, 846
20, 1, 9439,10544, 1105
8, 2, 9559,9981, 422
6, 4, 9749,10854, 1105
37, 3, 9959,10899, 940
26, 2, 9981,11628, 1647
34, 1, 10544,11649, 1105
22, 4, 10854,11276, 422
18, 3, 10899,11580, 681
17, 4, 11276,11839, 563
23, 3, 11580,12520, 940
33, 2, 11628,12474, 846
27, 1, 11649,12754, 1105
36, 4, 11839,12638, 799
34, 2, 12474,13579, 1105
28, 3, 12520,13908, 1388
18, 4, 12638,13319, 681
26, 1, 12754,14401, 1647
12, 4, 13319,14165, 846
23, 2, 13579,14519, 940
34, 3, 13908,15013, 1105
22, 4, 14165,14964, 799
13, 1, 14401,15506, 1105
37, 2, 14519,15459, 940
6, 4, 14964,17129, 2165
8, 3, 15013,15435, 422
33, 3, 15435,16281, 846
20, 2, 15459,16564, 1105
24, 1, 15506,16069, 563
14, 1, 16069,17457, 1388
2, 3, 16281,17221, 940
24, 2, 16564,17127, 563
27, 2, 17127,18232, 1105
28, 4, 17129,18517, 1388
22, 3, 17221,18020, 799
38, 1, 17457,18020, 563
21, 1, 18020,19408, 1388
36, 3, 18020,18819, 799
14, 2, 18232,19620, 1388
17, 4, 18517,19598, 1081
20, 3, 18819,19924, 1105
16, 1, 19408,19900, 492
34, 4, 19598,20703, 1105
2, 2, 19620,20560, 940
23, 1, 19900,20840, 940
14, 3, 19924,21312, 1388
36, 2, 20560,21359, 799
34, 4, 20703,22868, 2165
35, 1, 20840,22228, 1388
27, 3, 21312,22417, 1105
13, 2, 21359,22464, 1105
10, 1, 22228,22791, 563
17, 3, 22417,23498, 1081
35, 2, 22464,23852, 1388
32, 1, 22791,23472, 681
20, 4, 22868,23973, 1105
37, 1, 23472,24412, 940
24, 3, 23498,24061, 563
10, 2, 23852,24415, 563
15, 4, 23973,24395, 422
35, 3, 24061,25449, 1388
14, 4, 24395,25783, 1388
31, 1, 24412,24975, 563
16, 2, 24415,24907, 492
32, 2, 24907,25588, 681
39, 1, 24975,25656, 681
13, 3, 25449,26554, 1105
21, 2, 25588,26976, 1388
5, 1, 25656,26502, 846
8, 4, 25783,26205, 422
35, 4, 26205,27593, 1388
9, 1, 26502,26994, 492
16, 3, 26554,27046, 492
5, 2, 26976,27822, 846
19, 1, 26994,27840, 846
34, 3, 27046,29211, 2165
15, 4, 27593,28392, 799
17, 2, 27822,28903, 1081
2, 1, 27840,28780, 940
35, 4, 28392,31123, 2731
3, 1, 28780,29343, 563
31, 2, 28903,29466, 563
10, 3, 29211,29774, 563
4, 1, 29343,30024, 681
9, 2, 29466,29958, 492
31, 3, 29774,30337, 563
38, 2, 29958,30521, 563
17, 1, 30024,31105, 1081
6, 3, 30337,32502, 2165
3, 2, 30521,31084, 563
4, 2, 31084,31765, 681
7, 1, 31105,32493, 1388
14, 4, 31123,33854, 2731
39, 2, 31765,32446, 681
19, 2, 32446,33292, 846
1, 1, 32493,32915, 422
21, 3, 32502,33890, 1388
11, 1, 32915,33596, 681
6, 2, 33292,35457, 2165
29, 1, 33596,34018, 422
10, 4, 33854,34417, 563
38, 3, 33890,34453, 563
40, 1, 34018,34864, 846
18, 4, 34417,35734, 1317
5, 3, 34453,35299, 846
25, 1, 34864,35545, 681
3, 3, 35299,35862, 563
22, 2, 35457,36256, 799
30, 1, 35545,36037, 492
12, 4, 35734,37381, 1647
14, 3, 35862,38593, 2731
6, 1, 36037,38202, 2165
1, 2, 36256,36678, 422
7, 2, 36678,38066, 1388
5, 4, 37381,38227, 846
40, 2, 38066,38912, 846
22, 1, 38202,39001, 799
13, 4, 38227,39332, 1105
39, 3, 38593,39274, 681
29, 2, 38912,39334, 422
36, 1, 39001,39800, 799
15, 3, 39274,40073, 799
21, 4, 39332,40720, 1388
25, 2, 39334,40015, 681
34, 2, 40015,42180, 2165
40, 3, 40073,40919, 846
24, 4, 40720,41283, 563
12, 3, 40919,42566, 1647
38, 4, 41283,41846, 563
3, 4, 41846,42409, 563
30, 2, 42180,42672, 492
34, 1, 42180,44345, 2165
20, 4, 42409,44574, 2165
7, 3, 42566,43954, 1388
14, 2, 42672,45403, 2731
18, 3, 43954,45271, 1317
16, 4, 44574,45066, 492
7, 4, 45066,46454, 1388
35, 3, 45271,48002, 2731
12, 2, 45403,47050, 1647
14, 1, 45403,48134, 2731
21, 4, 46454,49185, 2731
11, 2, 47050,47731, 681
18, 2, 47731,49048, 1317
30, 3, 48002,48494, 492
12, 1, 48134,49781, 1647
4, 3, 48494,49175, 681
35, 2, 49048,51779, 2731
25, 3, 49175,49856, 681
3, 4, 49185,50266, 1081
18, 1, 49781,51098, 1317
19, 3, 49856,50702, 846
13, 4, 50266,52431, 2165
9, 3, 50702,51194, 492
21, 3, 51194,53925, 2731
15, 2, 51779,52578, 799
35, 1, 51779,54510, 2731
4, 4, 52431,53112, 681
28, 4, 53112,55843, 2731
13, 3, 53925,56090, 2165
21, 2, 53925,56656, 2731
15, 1, 54510,55309, 799
5, 4, 55843,57490, 1647
3, 3, 56090,57171, 1081
13, 2, 56656,58821, 2165
21, 1, 56656,59387, 2731
29, 3, 57171,57593, 422
9, 4, 57490,57982, 492
28, 3, 57593,60324, 2731
39, 4, 57982,58663, 681
38, 4, 58663,59744, 1081
3, 2, 58821,59902, 1081
13, 1, 59387,61552, 2165
19, 4, 59744,60590, 846
5, 3, 60324,61971, 1647
28, 2, 60324,63055, 2731
29, 4, 60590,61012, 422
25, 4, 61012,61693, 681
3, 1, 61552,62633, 1081
8, 4, 61693,62492, 799
20, 3, 61971,64136, 2165
29, 4, 62492,63291, 799
5, 2, 63055,64702, 1647
28, 1, 63055,65786, 2731
24, 4, 63291,64372, 1081
38, 3, 64136,65217, 1081
7, 4, 64372,67103, 2731
20, 2, 64702,66867, 2165
8, 3, 65217,66016, 799
5, 1, 65786,67433, 1647
32, 3, 66016,66697, 681
11, 3, 66697,67378, 681
8, 2, 66867,67666, 799
30, 4, 67103,67595, 492
1, 3, 67378,67800, 422
20, 1, 67433,69598, 2165
33, 4, 67595,68441, 846
38, 2, 67666,68747, 1081
24, 3, 67800,68881, 1081
10, 4, 68441,69522, 1081
24, 2, 68881,69962, 1081
29, 3, 68881,69680, 799
33, 4, 69522,71169, 1647
38, 1, 69598,70679, 1081
7, 3, 69680,72411, 2731
29, 2, 69962,70761, 799
24, 1, 70679,71760, 1081
4, 4, 71169,72486, 1317
29, 1, 71760,72559, 799
7, 2, 72411,75142, 2731
10, 3, 72411,73492, 1081
40, 4, 72486,73332, 846
8, 1, 72559,73358, 799
1, 4, 73332,73754, 422
4, 3, 73492,74809, 1317
16, 4, 73754,74694, 940
40, 4, 74694,76341, 1647
16, 3, 74809,75749, 940
7, 1, 75142,77873, 2731
10, 2, 75142,76223, 1081
33, 3, 75749,77396, 1647
4, 2, 76223,77540, 1317
27, 4, 76341,77446, 1105
40, 3, 77396,79043, 1647
1, 4, 77446,78245, 799
16, 2, 77540,78480, 940
4, 1, 77873,79190, 1317
25, 4, 78245,79562, 1317
33, 2, 78480,80127, 1647
1, 3, 79043,79842, 799
10, 1, 79190,80271, 1081
30, 4, 79562,80502, 940
25, 3, 79842,81159, 1317
40, 2, 80127,81774, 1647
16, 1, 80271,81211, 940
39, 4, 80502,81819, 1317
30, 3, 81159,82099, 940
33, 1, 81211,82858, 1647
1, 2, 81774,82573, 799
27, 4, 81819,83984, 2165
39, 3, 82099,83416, 1317
25, 2, 82573,83890, 1317
40, 1, 82858,84505, 1647
30, 2, 83890,84830, 940
9, 4, 83984,84924, 940
27, 3, 83984,86149, 2165
1, 1, 84505,85304, 799
39, 2, 84830,86147, 1317
11, 4, 84924,85605, 681
30, 1, 85304,86244, 940
11, 4, 85605,86922, 1317
9, 3, 86149,87089, 940
27, 2, 86149,88314, 2165
39, 1, 86244,87561, 1317
31, 4, 86922,87485, 563
11, 3, 87089,88406, 1317
32, 4, 87485,88166, 681
25, 1, 87561,88878, 1317
31, 4, 88166,89247, 1081
9, 2, 88314,89254, 940
27, 1, 88878,91043, 2165
31, 3, 89247,90328, 1081
32, 4, 89247,90564, 1317
11, 2, 89254,90571, 1317
19, 4, 90564,92211, 1647
32, 3, 90564,91881, 1317
31, 2, 90571,91652, 1081
11, 1, 91043,92360, 1317
32, 2, 91881,93198, 1317
19, 3, 92211,93858, 1647
31, 1, 92360,93441, 1081
32, 1, 93441,94758, 1317
19, 2, 93858,95505, 1647
9, 1, 94758,95698, 940
19, 1, 95698,97345, 1647