加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
31, 1, 0,443, 443
2, 1, 443,832, 389
31, 2, 443,886, 443
23, 1, 832,1221, 389
2, 2, 886,1275, 389
31, 3, 886,1329, 443
9, 1, 1221,1610, 389
23, 2, 1275,1664, 389
2, 3, 1329,1718, 389
31, 4, 1329,1772, 443
28, 1, 1610,2688, 1078
9, 2, 1664,2053, 389
23, 3, 1718,2107, 389
2, 4, 1772,2161, 389
9, 3, 2107,2496, 389
2, 4, 2161,2894, 733
28, 2, 2688,3766, 1078
36, 1, 2688,3023, 335
2, 3, 2894,3627, 733
9, 4, 2894,3283, 389
12, 1, 3023,3684, 661
9, 4, 3283,4016, 733
34, 1, 3684,4544, 860
28, 3, 3766,4844, 1078
36, 2, 3766,4101, 335
31, 4, 4016,4858, 842
2, 2, 4101,4834, 733
29, 1, 4544,4879, 335
34, 2, 4834,5694, 860
9, 3, 4844,5577, 733
28, 4, 4858,5936, 1078
35, 1, 4879,5957, 1078
36, 3, 5577,5912, 335
9, 2, 5694,6427, 733
31, 3, 5912,6754, 842
36, 4, 5936,6271, 335
40, 1, 5957,6618, 661
23, 4, 6271,6660, 389
12, 2, 6427,7088, 661
32, 1, 6618,7152, 534
36, 4, 6660,7285, 625
34, 3, 6754,7614, 860
31, 2, 7088,7930, 842
37, 1, 7152,7541, 389
23, 4, 7285,8018, 733
18, 1, 7541,8075, 534
12, 3, 7614,8275, 661
37, 2, 7930,8319, 389
34, 4, 8018,8878, 860
7, 1, 8075,9153, 1078
36, 3, 8275,8900, 625
32, 2, 8319,8853, 534
18, 2, 8853,9387, 534
12, 4, 8878,9539, 661
23, 3, 8900,9633, 733
19, 1, 9153,9814, 661
36, 2, 9387,10012, 625
34, 4, 9539,11215, 1676
37, 3, 9633,10022, 389
8, 1, 9814,10149, 335
7, 2, 10012,11090, 1078
32, 3, 10022,10556, 534
21, 1, 10149,11227, 1078
18, 3, 10556,11090, 534
7, 3, 11090,12168, 1078
40, 2, 11090,11751, 661
32, 4, 11215,11749, 534
13, 1, 11227,12087, 860
12, 4, 11749,13026, 1277
35, 2, 11751,12829, 1078
30, 1, 12087,12476, 389
40, 3, 12168,12829, 661
38, 1, 12476,12919, 443
29, 2, 12829,13164, 335
34, 3, 12829,14505, 1676
1, 1, 12919,13254, 335
7, 4, 13026,14104, 1078
21, 2, 13164,14242, 1078
2, 1, 13254,13987, 733
27, 1, 13987,14847, 860
37, 4, 14104,14493, 389
23, 2, 14242,14975, 733
40, 4, 14493,15154, 661
21, 3, 14505,15583, 1078
39, 1, 14847,15381, 534
8, 2, 14975,15310, 335
28, 4, 15154,17265, 2111
30, 2, 15310,15699, 389
6, 1, 15381,16241, 860
35, 3, 15583,16661, 1078
34, 2, 15699,17375, 1676
10, 1, 16241,16684, 443
8, 3, 16661,16996, 335
36, 1, 16684,17309, 625
29, 3, 16996,17331, 335
40, 4, 17265,18542, 1277
3, 1, 17309,17752, 443
28, 3, 17331,19442, 2111
10, 2, 17375,17818, 443
33, 1, 17752,18413, 661
38, 2, 17818,18261, 443
27, 2, 18261,19121, 860
16, 1, 18413,18802, 389
21, 4, 18542,19620, 1078
34, 1, 18802,20478, 1676
39, 2, 19121,19655, 534
12, 3, 19442,20719, 1277
35, 4, 19620,20698, 1078
13, 2, 19655,20515, 860
25, 1, 20478,21012, 534
33, 2, 20515,21176, 661
21, 4, 20698,22809, 2111
40, 3, 20719,21996, 1277
23, 1, 21012,21745, 733
19, 2, 21176,21837, 661
9, 1, 21745,22478, 733
25, 2, 21837,22371, 534
33, 3, 21996,22657, 661
40, 2, 22371,23648, 1277
20, 1, 22478,23338, 860
10, 3, 22657,23100, 443
7, 4, 22809,24920, 2111
25, 3, 23100,23634, 534
14, 1, 23338,24416, 1078
21, 3, 23634,25745, 2111
6, 2, 23648,24508, 860
31, 1, 24416,25258, 842
1, 2, 24508,24843, 335
16, 2, 24843,25232, 389
32, 4, 24920,25943, 1023
28, 2, 25232,27343, 2111
40, 1, 25258,26535, 1277
16, 3, 25745,26134, 389
18, 4, 25943,26477, 534
32, 3, 26134,27157, 1023
10, 4, 26477,26920, 443
24, 1, 26535,26978, 443
18, 4, 26920,27943, 1023
26, 1, 26978,27639, 661
27, 3, 27157,28017, 860
14, 2, 27343,28421, 1078
22, 1, 27639,27974, 335
35, 4, 27943,30054, 2111
11, 1, 27974,28508, 534
13, 3, 28017,28877, 860
26, 2, 28421,29082, 661
4, 1, 28508,29042, 534
14, 3, 28877,29955, 1078
5, 1, 29042,29703, 661
12, 2, 29082,30359, 1277
17, 1, 29703,30146, 443
30, 3, 29955,30344, 389
13, 4, 30054,30914, 860
15, 1, 30146,30481, 335
35, 3, 30344,32455, 2111
17, 2, 30359,30802, 443
12, 1, 30481,31758, 1277
3, 2, 30802,31245, 443
25, 4, 30914,31448, 534
21, 2, 31245,33356, 2111
14, 4, 31448,32526, 1078
28, 1, 31758,33869, 2111
7, 3, 32455,34566, 2111
27, 4, 32526,33386, 860
20, 2, 33356,34216, 860
14, 4, 33386,35497, 2111
21, 1, 33869,35980, 2111
24, 2, 34216,34659, 443
19, 3, 34566,35227, 661
22, 2, 34659,34994, 335
11, 2, 34994,35528, 534
1, 3, 35227,35562, 335
19, 4, 35497,36158, 661
35, 2, 35528,37639, 2111
11, 3, 35562,36096, 534
24, 3, 36096,36539, 443
29, 4, 36158,36493, 335
37, 4, 36493,37226, 733
22, 3, 36539,36874, 335
6, 3, 36874,37734, 860
29, 4, 37226,37851, 625
4, 2, 37639,38173, 534
35, 1, 37639,39750, 2111
20, 3, 37734,38594, 860
27, 4, 37851,39527, 1676
7, 2, 38173,40284, 2111
29, 3, 38594,39219, 625
39, 3, 39219,39753, 534
8, 4, 39527,39862, 335
18, 3, 39753,40776, 1023
1, 4, 39862,40197, 335
16, 4, 40197,40586, 389
7, 1, 40284,42395, 2111
29, 2, 40284,40909, 625
6, 4, 40586,41446, 860
26, 3, 40776,41437, 661
18, 2, 40909,41932, 1023
37, 3, 41437,42170, 733
22, 4, 41446,41781, 335
8, 4, 41781,42406, 625
32, 2, 41932,42955, 1023
4, 3, 42170,42704, 534
18, 1, 42395,43418, 1023
13, 4, 42406,44082, 1676
3, 3, 42704,43147, 443
5, 2, 42955,43616, 661
27, 3, 43147,44823, 1676
29, 1, 43418,44043, 625
15, 2, 43616,43951, 335
37, 2, 43951,44684, 733
32, 1, 44043,45066, 1023
33, 4, 44082,44743, 661
4, 4, 44743,45277, 534
14, 3, 44823,46934, 2111
27, 2, 44823,46499, 1676
37, 1, 45066,45799, 733
33, 4, 45277,46554, 1277
27, 1, 46499,48175, 1676
25, 4, 46554,47577, 1023
14, 2, 46934,49045, 2111
17, 3, 46934,47377, 443
5, 3, 47377,48038, 661
39, 4, 47577,48111, 534
25, 3, 48038,49061, 1023
11, 4, 48111,48645, 534
17, 4, 48645,49088, 443
14, 1, 49045,51156, 2111
15, 3, 49061,49396, 335
25, 2, 49061,50084, 1023
30, 4, 49088,49477, 389
38, 3, 49396,49839, 443
6, 4, 49477,51153, 1676
13, 3, 49839,51515, 1676
24, 4, 51153,51596, 443
25, 1, 51156,52179, 1023
6, 3, 51515,53191, 1676
13, 2, 51515,53191, 1676
24, 4, 51596,52438, 842
10, 4, 52438,53280, 842
6, 2, 53191,54867, 1676
13, 1, 53191,54867, 1676
24, 3, 53191,54033, 842
19, 4, 53280,54557, 1277
10, 3, 54033,54875, 842
38, 4, 54557,55000, 443
6, 1, 54867,56543, 1676
24, 2, 54867,55709, 842
8, 3, 54875,55500, 625
4, 4, 55000,56023, 1023
19, 3, 55500,56777, 1277
8, 2, 55709,56334, 625
17, 4, 56023,56865, 842
10, 2, 56334,57176, 842
8, 1, 56543,57168, 625
4, 3, 56777,57800, 1023
38, 4, 56865,57707, 842
24, 1, 57168,58010, 842
19, 2, 57176,58453, 1277
22, 4, 57707,58332, 625
38, 3, 57800,58642, 842
10, 1, 58010,58852, 842
39, 4, 58332,59355, 1023
4, 2, 58453,59476, 1023
22, 3, 58642,59267, 625
19, 1, 58852,60129, 1277
33, 3, 59267,60544, 1277
1, 4, 59355,59980, 625
38, 2, 59476,60318, 842
26, 4, 59980,60641, 661
4, 1, 60129,61152, 1023
22, 2, 60318,60943, 625
1, 3, 60544,61169, 625
30, 4, 60641,61374, 733
33, 2, 60943,62220, 1277
22, 1, 61152,61777, 625
39, 3, 61169,62192, 1023
20, 4, 61374,62234, 860
38, 1, 61777,62619, 842
30, 3, 62192,62925, 733
1, 2, 62220,62845, 625
16, 4, 62234,62967, 733
33, 1, 62619,63896, 1277
39, 2, 62845,63868, 1023
17, 3, 62925,63767, 842
20, 4, 62967,64643, 1676
16, 3, 63767,64500, 733
30, 2, 63868,64601, 733
39, 1, 63896,64919, 1023
16, 2, 64601,65334, 733
5, 4, 64643,65304, 661
20, 3, 64643,66319, 1676
30, 1, 64919,65652, 733
3, 4, 65304,65747, 443
17, 2, 65334,66176, 842
1, 1, 65652,66277, 625
26, 4, 65747,67024, 1277
17, 1, 66277,67119, 842
20, 2, 66319,67995, 1676
15, 4, 67024,67359, 335
26, 3, 67024,68301, 1277
16, 1, 67119,67852, 733
15, 4, 67359,67984, 625
3, 4, 67984,68826, 842
20, 1, 67995,69671, 1676
15, 3, 68301,68926, 625
26, 2, 68301,69578, 1277
11, 4, 68826,69849, 1023
3, 3, 68926,69768, 842
15, 2, 69578,70203, 625
26, 1, 69671,70948, 1277
5, 4, 69849,71126, 1277
11, 3, 69849,70872, 1023
3, 2, 70203,71045, 842
15, 1, 70948,71573, 625
11, 2, 71045,72068, 1023
5, 3, 71126,72403, 1277
3, 1, 71573,72415, 842
5, 2, 72403,73680, 1277
11, 1, 72415,73438, 1023
5, 1, 73680,74957, 1277